Image-Name,File-Type,File-Size,Converted-File-Size,Conversion-Time
"CMYK Brush Stroke.JPG","JPG",152.59,30.151,1650
"Star Vector Art-CMYK.jpg","jpg",844.464,41.454,329
"Star Vector Art-RGB.jpg","jpg",223.921,41.499,236
"Vespa-CMYK.jpg","jpg",1422.981,23.129,446
"Vespa-RGB.jpg","jpg",556.221,23.559,168
"Digital Black.png","png",57.574,15.123,181
"Digital Desert.png","png",55.855,12.811,126
"Digital Green.png","png",55.409,13.576,103
"Digital Navy.png","png",60.22,14.58,119
"Digital Red.png","png",59.44,14.352,106
"Digital Royal.png","png",57.148,13.928,115
"Digital White.png","png",58.147,15.616,142
